Comment,Designator,Footprint,LCSC
SSAJ110100,SA1,SW_SSAJ110100,C160863
1.2kR,"R1,R_S1",R_0805_2012Metric,C17379
100R,"R_Fault1,R_S2",R_0805_2012Metric,C17408
3.0kR,R2,R_0805_2012Metric,C17661
470R,R_Stat1,R_0805_2012Metric,C17710
2k,R_Prog1,R_1206_3216Metric,C17944
4.7uF,"C_Batt1,C_Vdd1",C_0603_1608Metric,C19666
10uF,C_Vm1,C_0603_1608Metric,C19702
LED_Red,D_Stat1,LED_0603_1608Metric,C2286
LED_Green,Fault1,LED_0805_2012Metric,C2297
2.2uF,C_Vint1,C_0603_1608Metric,C23630
DRV8833PW,MD1,TSSOP-16_4.4x5mm_P0.65mm,C424093
MCP73831-2-OT,Charge1,SOT-23-5,C50506
Si2319CDS,Q1,SOT-23,C5337197
10nF,C_Vcp1,C_0603_1608Metric,C57112
