Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_Batt1,4.7uF,C_0603_1608Metric,112.5,-81.75,90.0,top
C_Vcp1,10nF,C_0603_1608Metric,121.965,-69.0,-90.0,top
C_Vdd1,4.7uF,C_0603_1608Metric,98.832859,-81.75,90.0,top
C_Vint1,2.2uF,C_0603_1608Metric,114.8675,-66.25,0.0,top
C_Vm1,10uF,C_0603_1608Metric,120.965,-64.75,90.0,top
Charge1,MCP73831-2-OT,SOT-23-5,108.284641,-82.75,90.0,top
D_Stat1,LED_Red,LED_0603_1608Metric,97.147141,-85.75,180.0,top
Fault1,LED_Green,LED_0805_2012Metric,110.5,-75.25,180.0,top
JP_S1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,123.465,-79.6,90.0,top
JP_S2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,120.115,-80.75,0.0,top
JP_SA1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,113.815,-95.5,180.0,top
JP_SA_Bat1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,113.865,-92.0,0.0,top
JP_SA_C1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,123.115,-93.25,180.0,top
JP_SB1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,107.215,-101.0,180.0,top
JP_SB_Bat1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,113.365,-100.5,180.0,top
MD1,DRV8833PW,TSSOP-16_4.4x5mm_P0.65mm,114.6425,-71.275,0.0,top
Q1,Si2319CDS,SOT-23,118.75,-93.0,180.0,top
R1,1.2kR,R_0805_2012Metric,88.0,-79.1625,-90.0,top
R2,3.0kR,R_0805_2012Metric,88.0,-84.5,-90.0,top
R_Fault1,100R,R_0805_2012Metric,104.5,-75.25,0.0,top
R_Prog1,2k,R_1206_3216Metric,102.832859,-79.75,180.0,top
R_S1,1.2kR,R_0805_2012Metric,122.8775,-75.25,180.0,top
R_S2,100R,R_0805_2012Metric,119.215,-76.75,90.0,top
R_Stat1,470R,R_0805_2012Metric,103.147141,-83.75,90.0,top
SA1,SSAJ110100,SW_SSAJ110100,120.5,-86.25,-90.0,top
TP_ADC1,TestPoint,TestPoint_Pad_D1.0mm,88.0,-90.5,0.0,top
TP_Charge1,TestPoint,TestPoint_Pad_D1.0mm,112.147141,-85.0825,0.0,top
TP_En1,TestPoint,TestPoint_Pad_D1.0mm,109.0,-69.75,0.0,top
U1,SS-12D10L5,SW-TH_SS-12D10L5,104.029997,-94.970002,180.0,top
