Comment,Designator,Footprint,LCSC
1.2kR,R1,R_0805_2012Metric,C17379
100R,"R100,R_Fault1",R_0805_2012Metric,C17408
10k,R10k1,R_0805_2012Metric,C17414
1k,R1k1,R_0805_2012Metric,C17513
3.0kR,"R2,R3k1",R_0805_2012Metric,C17661
470R,R_Stat1,R_0805_2012Metric,C17710
510,R510,R_0805_2012Metric,C17734
2k,R_Prog1,R_1206_3216Metric,C17944
4.7uF,"C_Batt1,C_Vdd1",C_0603_1608Metric,C19666
10uF,C_Vm1,C_0603_1608Metric,C19702
LED_Red,D_Stat1,LED_0603_1608Metric,C2286
LED_Green,Fault1,LED_0805_2012Metric,C2297
2.2uF,C_Vint1,C_0603_1608Metric,C23630
5.1k,R5.1,R_0805_2012Metric,C27834
SS-12D10L5,S1,SW-TH_SS-12D10L5,C319012
MCP73831-2-OT,Charge1,SOT-23-5,C424093
DRV8833PW,MD1,TSSOP-16_4.4x5mm_P0.65mm,C50506
10nF,C_Vcp1,C_0603_1608Metric,C57112
